index,Country Name,"Number of deaths due to tuberculosis, excluding HIV",Deaths due to tuberculosis among HIV-negative people (per 100 000 population),"Muertes Por Tuberculosis (per 100,000)"
0,Afghanistan,9800,26,0.2653061224489796
1,Albania,8,0,0.0
2,Algeria,2800,6,0.21428571428571427
3,Andorra,0,0,0.0
4,Angola,17000,53,0.31176470588235294
5,Antigua and Barbuda,1,1,100.0
6,Argentina,570,1,0.17543859649122806
7,Armenia,1,0,0.0
8,Australia,49,0,0.0
9,Austria,35,0,0.0
10,Azerbaijan,590,5,0.847457627118644
11,Bahamas,0,0,0.0
12,Bahrain,8,0,0.0
13,Bangladesh,38000,24,0.06315789473684211
14,Barbados,3,0,0.0
15,Belarus,270,2,0.7407407407407407
16,Belgium,33,0,0.0
17,Belize,9,2,22.22222222222222
18,Benin,920,7,0.7608695652173914
19,Bhutan,140,18,12.857142857142858
20,Bolivia (Plurinational State of),1200,10,0.8333333333333334
21,Bosnia and Herzegovina,93,2,2.150537634408602
22,Botswana,650,28,4.3076923076923075
23,Brazil,4900,2,0.04081632653061224
24,Brunei Darussalam,14,3,21.428571428571427
25,Bulgaria,110,1,0.9090909090909091
26,Burkina Faso,2000,9,0.45
27,Burundi,2400,21,0.875
28,Cabo Verde,23,4,17.391304347826086
29,Cambodia,2900,17,0.5862068965517241
30,Cameroon,7400,29,0.3918918918918919
31,Canada,97,0,0.0
32,Central African Republic,4600,98,2.130434782608696
33,Chad,3500,22,0.6285714285714286
34,Chile,400,2,0.5
35,China,31000,2,0.0064516129032258064
36,Colombia,1300,2,0.15384615384615385
37,Comoros,79,9,11.39240506329114
38,Congo,2800,52,1.8571428571428572
39,Cook Islands,0,1,inf
40,Costa Rica,32,0,0.0
41,Côte d'Ivoire,5500,21,0.38181818181818183
42,Croatia,40,0,0.0
43,Cuba,36,0,0.0
44,Cyprus,3,0,0.0
45,Czechia,36,0,0.0
46,Democratic Republic of the Congo,43000,49,0.11395348837209303
47,Denmark,18,0,0.0
48,Djibouti,240,25,10.416666666666666
49,Dominica,3,4,133.33333333333334
50,Dominican Republic,190,1,0.5263157894736842
51,Ecuador,570,3,0.5263157894736842
52,Egypt,430,0,0.0
